shortcode,meaning,emoji
:smile:,smile,
:ooooh:,astonished,
:kuss:,kissing_face_with_closed_eyes,
:lachen:,laugh,
:peinlich:,flushed,
:niedergeschmettert:,anguished_face,
:beleidigt:,unamused_face,
:zwinker:,wink,
:grmpf:,angry,
:knatsch:,face_with_diagonal_mouth,
:cool:,smiling_face_with_sunglasses,
:smirksmile:,smirking_face,
:blume:,tulip,
:freches grinsen:,beaming_face_with_smiling_eyes,
:unterwerf:,roll_eyes,
:ahoi:,waving_hand,
:jubel:,clinking_glasses,
:allesok:,ok_hand,
:heul:,cry,
:knicks:,woman_bowing,
:yeah:,stuck_out_tongue,
:musiker:,partying_face,
:Sonne:,sun_with_face,
:schnee_nikolaus:,santa,
:krone auf:,person_with_crown,
:aetsch:,squinting_face_with_tongue,
:fg engel:,beaming_face_with_smiling_eyes,
:engel:,angel,
:gegen die wand:,person_facepalming,
:wangenkuss:,kissing_face_with_smiling_eyes,
:entspann:,smiling_face,
:buch lesen:,open_book,
:geburtstag:,birthday,
:prost:,cheers,
:in den arm nehmen:,people_hugging,
:schneemann:,snowman,
:wie?:,confused_face,
:nudelholz:,pouting_face,
:zahnschmerzen:,face_with_head_bandage,
:hunger:,face_savoring_food,
:weißekerze:,candle,
:fluestertuete:,loudspeaker,
:pfeifend:,kissing_face,
:blumengabe:,gift,
:schlaf gut:,sleeping_face,
:regen:,rain,
:schild ...uups:,face_with_hand_over_mouth,
:liebe:,love,
:kerze:,candle,
:pc kaputt:,angry_face,
:tassenkasper:,hot_beverage,
:halloween:,halloween,
:osterhase:,rabbit_face,
:ostersmiley:,hatching_chick,
:nikolaus:,santa,
:schild genau:,thumbs_up,
:schild nein:,thumbs_down,
:zauberer:,wizard,
:fussballmaedchen:,soccer_ball,
:fussball:,football,
:erleuchtung:,light_bulb,
:krank:,sick,
:kristallkugel:,crystal_ball,
:teufelchen:,devil,
:gähnen:,yawn,
:erleichtert:,anxious_face_with_sweat,
:katze:,cat,
:hund:,dog,
:stricken:,yarn,
:traenenlachend:,face_with_tears_of_joy,
