,code,smiley,CLDR,keywords
0,U+1F600,😀,grinning face,face | grin | grinning face
1,U+1F603,😃,grinning face with big eyes,face | grinning face with big eyes | mouth | open | smile
2,U+1F604,😄,grinning face with smiling eyes,eye | face | grinning face with smiling eyes | mouth | open | smile
3,U+1F601,😁,beaming face with smiling eyes,beaming face with smiling eyes | eye | face | grin | smile
4,U+1F606,😆,grinning squinting face,face | grinning squinting face | laugh | mouth | satisfied | smile
5,U+1F605,😅,grinning face with sweat,cold | face | grinning face with sweat | open | smile | sweat
6,U+1F923,🤣,rolling on the floor laughing,face | floor | laugh | rofl | rolling | rolling on the floor laughing | rotfl
7,U+1F602,😂,face with tears of joy,face | face with tears of joy | joy | laugh | tear
8,U+1F642,🙂,slightly smiling face,face | slightly smiling face | smile
9,U+1F643,🙃,upside-down face,face | upside-down
10,U+1FAE0,🫠,melting face,disappear | dissolve | liquid | melt | melting face
11,U+1F609,😉,winking face,face | wink | winking face
12,U+1F60A,😊,smiling face with smiling eyes,blush | eye | face | smile | smiling face with smiling eyes
13,U+1F607,😇,smiling face with halo,angel | face | fantasy | halo | innocent | smiling face with halo
14,U+1F970,🥰,smiling face with hearts,adore | crush | hearts | in love | smiling face with hearts
15,U+1F60D,😍,smiling face with heart-eyes,eye | face | love | smile | smiling face with heart-eyes
16,U+1F929,🤩,star-struck,eyes | face | grinning | star | star-struck | starry-eyed
17,U+1F618,😘,face blowing a kiss,face | face blowing a kiss | kiss
18,U+1F617,😗,kissing face,face | kiss | kissing face
19,U+263A,☺,smiling face,face | outlined | relaxed | smile | smiling face
20,U+1F61A,😚,kissing face with closed eyes,closed | eye | face | kiss | kissing face with closed eyes
21,U+1F619,😙,kissing face with smiling eyes,eye | face | kiss | kissing face with smiling eyes | smile
22,U+1F972,🥲,smiling face with tear,grateful | proud | relieved | smiling | smiling face with tear | tear | touched
23,U+1F60B,😋,face savoring food,delicious | face | face savoring food | savouring | smile | yum
24,U+1F61B,😛,face with tongue,face | face with tongue | tongue
25,U+1F61C,😜,winking face with tongue,eye | face | joke | tongue | wink | winking face with tongue
26,U+1F92A,🤪,zany face,eye | goofy | large | small | zany face
27,U+1F61D,😝,squinting face with tongue,eye | face | horrible | squinting face with tongue | taste | tongue
28,U+1F911,🤑,money-mouth face,face | money | money-mouth face | mouth
29,U+1F917,🤗,smiling face with open hands,face | hug | hugging | open hands | smiling face | smiling face with open hands
30,U+1F92D,🤭,face with hand over mouth,face with hand over mouth | whoops | shock | sudden realization | surprise
31,U+1FAE2,🫢,face with open eyes and hand over mouth,amazement | awe | disbelief | embarrass | face with open eyes and hand over mouth | scared | surprise
32,U+1FAE3,🫣,face with peeking eye,captivated | face with peeking eye | peep | stare
33,U+1F92B,🤫,shushing face,quiet | shush | shushing face
34,U+1F914,🤔,thinking face,face | thinking
35,U+1FAE1,🫡,saluting face,OK | salute | saluting face | sunny | troops | yes
36,U+1F910,🤐,zipper-mouth face,face | mouth | zipper | zipper-mouth face
37,U+1F928,🤨,face with raised eyebrow,distrust | face with raised eyebrow | skeptic | disapproval | disbelief | mild surprise | scepticism
38,U+1F610,😐,neutral face,deadpan | face | meh | neutral
39,U+1F611,😑,expressionless face,expressionless | face | inexpressive | meh | unexpressive
40,U+1F636,😶,face without mouth,face | face without mouth | mouth | quiet | silent
41,U+1FAE5,🫥,dotted line face,depressed | disappear | dotted line face | hide | introvert | invisible
42,U+1F636 U+200D U+1F32B U+FE0F,😶‍🌫️,face in clouds,absentminded | face in clouds | face in the fog | head in clouds
43,U+1F60F,😏,smirking face,face | smirk | smirking face
44,U+1F612,😒,unamused face,face | unamused | unhappy
45,U+1F644,🙄,face with rolling eyes,eyeroll | eyes | face | face with rolling eyes | rolling
46,U+1F62C,😬,grimacing face,face | grimace | grimacing face
47,U+1F62E U+200D U+1F4A8,😮‍💨,face exhaling,exhale | face exhaling | gasp | groan | relief | whisper | whistle
48,U+1F925,🤥,lying face,face | lie | lying face | pinocchio
49,U+1FAE8,🫨,⊛ shaking face,earthquake | face | shaking | shock | vibrate
50,U+1F60C,😌,relieved face,face | relieved
51,U+1F614,😔,pensive face,dejected | face | pensive
52,U+1F62A,😪,sleepy face,face | good night | sleep | sleepy face
53,U+1F924,🤤,drooling face,drooling | face
54,U+1F634,😴,sleeping face,face | good night | sleep | sleeping face | ZZZ
55,U+1F637,😷,face with medical mask,cold | doctor | face | face with medical mask | mask | sick
